objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment
"All Things Zombie: The Boardgame","36986","6.9","","0","1","0","0","0","0","0","0","0","","","","","","","16350822","5.79752","6.27183","2.549","2821","1130","thing","All Things Zombie: The Boardgame","1","6","40","40","40","2010","1,2,3,4","1","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Amerigo","137408","0","","0","1","1","0","0","0","0","0","0","","","","","","","24876347","7.09541","7.50066","3.004","237","3849","thing","Amerigo","2","4","90","90","90","2013","2,3,4","4","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Among the Stars","110277","0","","0","1","0","0","0","0","0","0","0","","","","","","","24876360","7.00565","7.28393","2.2551","298","6312","thing","Among the Stars","2","4","30","30","30","2012","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"The Ancient World","147253","0","","0","1","0","0","0","0","0","0","0","","","","","","","31429475","6.48573","7.28599","2.7765","807","1598","thing","The Ancient World","2","4","90","90","90","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Andean Abyss","91080","0","","0","0","0","0","0","0","1","0","0","","","","","","","17087760","6.76269","7.6042","3.6687","488","1929","thing","Andean Abyss","1","4","360","360","360","2012","1,2,3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Android: Netrunner","124742","0","","0","1","0","0","0","0","0","0","0","","","","","","","19603910","7.92029","8.10013","3.3236","12","26912","thing","Android: Netrunner","2","2","45","45","45","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Apex Theropod Deck-Building Game","156266","0","","0","0","0","0","0","0","0","0","0","","","","","","","33067626","5.73824","7.43708","3.0625","3250","274","thing","Apex Theropod Deck-Building Game","1","8","290","290","45","2015","1,2,3,4","1,2","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Apex Theropod Deck-Building Game: Exotic Predators","175707","0","","0","1","0","0","0","0","0","0","0","","","","","","","33067713","5.62276","7.5717","2.4","4799","152","thing","Apex Theropod Deck-Building Game: Exotic Predators","1","8","290","290","45","2015","2,3,4","3","","","","","",,"","","","","","","","",""
"Archaeologia","162391","0","","0","0","0","0","0","0","0","0","1","4","","","","","","28745824","5.58251","7.41622","2.25","5861","78","thing","Archaeologia","2","4","40","40","40","2014","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Archipelago","105551","0","","0","1","0","0","0","0","0","0","0","","","","","","","17932895","7.10359","7.43738","3.7123","231","5596","thing","Archipelago","2","5","240","240","30","2012","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Archipelago: Solo Expansion","134323","0","","0","1","0","0","0","0","0","0","0","","","","","","","19603806","6.13548","7.26656","3.5435","0","1772","thing","Archipelago: Solo Expansion","1","1","60","60","60","2012","1","1","14+","No necessary in-game text","","","",,"","","","","","","","",""
"Arctic Scavengers","41933","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885111","6.53997","7.00449","2.2583","734","2466","thing","Arctic Scavengers","2","5","60","60","45","2009","3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"The Ares Project","65534","0","","0","1","0","0","0","0","0","0","0","","","","","","","17128413","6.09632","6.95134","3.2877","1577","1614","thing","The Ares Project","2","4","60","60","60","2011","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Arkham Horror","15987","8","","0","1","0","0","0","0","0","0","0","","","","","","","10936013","7.23808","7.39053","3.5354","159","33404","thing","Arkham Horror","1","8","240","240","120","2005","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Ars Victor","128204","0","","0","1","0","0","0","0","0","0","0","","","","","","","29019028","5.70085","7.56134","2.3684","3624","321","thing","Ars Victor","2","2","60","60","60","2013","2","2","10+","No necessary in-game text","","","",,"","","","","","","","",""
"Ascension: Deckbuilding Game","69789","7.1","","0","0","0","0","0","0","0","0","0","","","","","","","17128405","6.88025","7.06576","2.1554","397","7863","thing","Ascension: Deckbuilding Game","1","4","30","30","30","2010","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Asgard","131118","0","","0","1","0","0","0","0","0","0","0","","","","","","","25854785","6.1027","6.98037","3.7424","1559","1306","thing","Asgard","2","4","120","120","60","2012","2,3,4","4","14+","No necessary in-game text","","","",,"","","","","","","","",""
"Asgard's Chosen","145553","0","","0","0","0","0","0","0","0","0","1","4","","","","","","30174488","5.60493","6.36556","3.1333","5203","291","thing","Asgard's Chosen","1","4","90","90","90","2013","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Assault on Doomrock","149241","0","","0","1","0","0","0","0","0","0","0","","","","","","","32225975","6.19067","7.41574","3.1136","1347","1077","thing","Assault on Doomrock","1","4","150","150","150","2014","1,2,3,4","1","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Astra Titanus","88406","7.3","","0","1","0","0","0","0","0","0","0","","","","","","","14538163","5.84417","7.28545","2.0313","2533","415","thing","Astra Titanus","1","1","60","60","60","2010","1","1","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Automobile","39351","7","","0","1","1","0","0","0","0","0","0","","","","","","","17128255","7.12814","7.39773","3.5156","213","4387","thing","Automobile","3","5","120","120","120","2009","3,4,5","5","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Axis & Allies","10093","7","","0","1","0","0","0","0","0","0","0","","","","","","","13478611","6.47978","6.75588","3.2052","818","6103","thing","Axis & Allies","2","5","240","240","240","2004","2,3,4,5","2,5","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Axis & Allies Europe 1940","61692","0","","0","1","0","0","0","0","0","0","0","","","","","","","20895340","6.58048","7.56511","3.3511","683","2028","thing","Axis & Allies Europe 1940","2","6","360","360","360","2010","2,3,4,5,6","4","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Axis & Allies Naval Miniatures: War at Sea","25794","0","","0","1","0","0","0","0","0","0","0","","","","","","","21554392","6.12742","6.9998","2.062","1498","1055","thing","Axis & Allies Naval Miniatures: War at Sea","2","2","60","60","60","2007","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Axis & Allies Pacific 1940","55829","0","","0","1","0","0","0","0","0","0","0","","","","","","","20895345","6.46801","7.43662","3.4778","835","2041","thing","Axis & Allies Pacific 1940","2","4","360","360","360","2009","2,3,4","2,3","12+","No necessary in-game text","","","",,"","","","","","","","",""
"B-29 Superfortress","28907","0","","0","0","0","0","0","0","0","0","1","3","","","","","","27638543","5.80493","6.97103","2.6364","2779","671","thing","B-29 Superfortress","1","1","90","90","90","2008","1","1","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Band of Brothers: Screaming Eagles","41429","0","","0","1","0","0","0","0","0","0","0","","","","","","","27638210","6.15343","7.82899","2.6897","1441","749","thing","Band of Brothers: Screaming Eagles","2","2","90","90","90","2011","1,2","2","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Baseball Highlights: 2045","151022","0","","0","1","0","0","0","0","0","0","0","","","","","","","28985774","6.86151","7.93824","2.1558","413","1387","thing","Baseball Highlights: 2045","1","4","45","45","45","2015","1,2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Battle Cry of Freedom","7992","0","","0","1","0","0","0","0","0","0","0","","","","","","","19603786","5.5769","6.8","2.2","6076","123","thing","Battle Cry of Freedom","2","2","180","180","180","2003","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Battle Merchants","59936","0","","0","1","1","0","0","0","0","0","0","","","","","","","27426372","5.80505","6.87386","2.875","2777","388","thing","Battle Merchants","2","4","120","120","120","2014","2,3,4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"BattleCON: Devastation of Indines","123123","0","","0","1","0","0","0","0","0","0","0","","","","","","","27884977","7.32425","8.2337","3.032","125","2907","thing","BattleCON: Devastation of Indines","1","5","45","45","45","2013","1,2,3,4,5","2","10+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Battles of Westeros","67492","0","","0","1","0","0","0","0","0","0","0","","","","","","","27426389","6.89901","7.43744","3.1709","384","3887","thing","Battles of Westeros","2","2","120","120","60","2010","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Battlestar Galactica","37111","0","","0","1","0","0","0","0","0","0","0","","","","","","","24725399","7.67832","7.8049","3.2162","36","24433","thing","Battlestar Galactica","3","6","240","240","120","2008","4,5,6","5","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Battletech Introductory Box Set","31759","0","","0","1","0","0","0","0","0","0","0","","","","","","","24725476","6.42759","7.62142","3.5395","893","1616","thing","Battletech Introductory Box Set","2","6","120","120","120","2002","2,3,4,6","2,4","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Bios: Megafauna","97915","0","","0","1","0","0","0","0","0","0","0","","","","","","","19603759","6.19552","7.05328","3.6301","1327","1194","thing","Bios: Megafauna","1","4","120","120","60","2011","1,2,3,4","4","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Blackbeard","25685","0","","0","0","0","0","0","0","1","0","0","","","","","","","27885251","5.82902","6.10039","3.3333","2619","2228","thing","Blackbeard","1","5","120","120","120","2008","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Blitz! A World in Conflict","42997","0","","0","0","0","1","1","0","0","0","1","3","","","","","","31411570","5.58192","7.76944","3.3333","5885","176","thing","Blitz! A World in Conflict","2","5","480","480","30","2015","2,3,4,5","2,3,4","14+","","","","",,"","","","","","","","",""
"Blood Rage","170216","0","","0","1","0","0","0","0","0","0","0","","","","","","","32225942","7.81076","8.29383","2.9007","23","6422","thing","Blood Rage","2","4","90","90","60","2015","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Bloody April, 1917: Air War Over Arras, France","69136","0","","0","1","0","0","0","0","0","0","0","","","","","","","18434773","5.74828","7.2489","4.0833","3178","700","thing","Bloody April, 1917: Air War Over Arras, France","1","2","120","120","120","2012","1,2","2","","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Boots on the Ground","68876","6.2","","0","1","0","0","0","0","0","0","0","","","","","","","15587572","5.61284","6.36786","1.8889","5003","284","thing","Boots on the Ground","1","3","60","60","60","2010","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Boss Monster: The Dungeon Building Card Game","131835","0","","0","1","0","0","0","0","0","0","0","","","","","","","20895374","6.22186","6.4034","1.7898","1264","9687","thing","Boss Monster: The Dungeon Building Card Game","2","4","20","20","20","2013","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Bottom of the 9th","166286","0","","0","1","0","0","0","0","0","0","0","","","","","","","33067494","6.05226","7.22992","1.68","1696","1338","thing","Bottom of the 9th","1","2","20","20","5","2015","1,2","2","8+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Bulwark","145836","0","","0","1","0","0","0","0","0","0","0","","","","","","","20895307","0","7.25","3.5","0","19","thing","Bulwark","1","4","60","60","60","2013","","","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Cadwallon: City of Thieves","69120","6","","0","1","1","0","0","0","0","0","0","","","","","","","17128372","6.00072","6.35976","2.2277","1857","2201","thing","Cadwallon: City of Thieves","2","4","45","45","45","2010","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Call of Cthulhu: The Card Game","40270","6","","0","1","0","0","0","0","0","0","0","","","","","","","10936300","6.62614","7.02725","2.89","631","4428","thing","Call of Cthulhu: The Card Game","2","2","30","30","30","2008","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Canterbury","136440","0","","0","0","0","0","0","0","0","0","0","","","","","","","21554288","6.11114","7.04503","3.0847","1541","820","thing","Canterbury","2","4","90","90","90","2013","2,3,4","4","10+","No necessary in-game text","","","",,"","","","","","","","",""
"The Capitals","119012","0","","0","1","1","0","0","0","0","0","0","","","","","","","22053637","6.25683","7.10362","3.4795","1196","869","thing","The Capitals","2","5","120","120","120","2013","2,3,4","3","14+","No necessary in-game text","","","",,"","","","","","","","",""
"Carcassonne","822","6","","0","1","0","0","0","0","0","0","0","","","","","","","10936372","7.33983","7.43454","1.9452","118","75952","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","",,"","","","","","","","",""
"Carson City: Big Box","177352","8","","0","1","0","0","0","0","0","0","0","","","","","","","32333288","6.31917","8.27781","3.2","0","1416","thing","Carson City: Big Box","2","6","180","180","90","2015","2,3,4,5,6","4,5","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Castaways","71906","7.5","","0","1","0","0","0","0","0","0","0","","","","","","","20453465","6.53593","7.20192","2.992","739","1994","thing","Castaways","1","4","120","120","120","2013","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Castelli","104633","0","","0","1","0","0","0","0","0","0","0","","","","","","","26208159","5.56059","5.9136","2.2857","6726","250","thing","Castelli","2","4","45","45","45","2011","4","4","","No necessary in-game text","","","",,"","","","","","","","",""
"Castle Blast","161869","7","","1","1","0","0","0","0","0","0","0","","","My three year old loves this which bumps it up a couple notches.
","","","","28746784","0","6.21","1","0","48","thing","Castle Blast","2","4","10","10","10","2013","2,3,4","4","5–10","No necessary in-game text","","","",,"","","","","","","","",""
"Castle Panic","43443","0","","0","1","0","0","0","0","0","0","0","","","","","","","27885120","6.58214","6.72551","1.6714","679","13070","thing","Castle Panic","1","6","60","60","60","2009","1,2,3,4,5,6","4","6+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Castles of Mad King Ludwig","155426","0","","0","1","0","0","0","0","0","0","0","","","","","","","26208226","7.61204","7.82453","2.6598","46","11335","thing","Castles of Mad King Ludwig","1","4","90","90","90","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Catan","13","7.5","","0","1","0","0","0","0","0","0","0","","","","","","","10936447","7.17953","7.31116","2.3674","193","79225","thing","Catan","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Catan Card Game","278","6.5","","0","1","0","0","0","0","0","0","0","","","","","","","10936459","6.66039","6.78724","2.4499","584","15782","thing","Catan Card Game","2","2","90","90","90","1996","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Caverna: The Cave Farmers","102794","0","","0","1","0","0","0","0","0","0","0","","","","","","","27884940","8.04916","8.23694","3.7879","4","15345","thing","Caverna: The Cave Farmers","1","7","210","210","30","2013","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Champions of Midgard","172287","0","","0","1","0","0","0","0","0","0","0","","","","","","","33067716","6.81551","7.72785","2.5181","443","2140","thing","Champions of Midgard","2","4","90","90","60","2015","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Chez Geek","553","0","","0","1","0","0","0","0","0","0","0","","","","","","","17128325","5.6385","5.74877","1.4214","4480","5476","thing","Chez Geek","2","5","60","60","60","1999","3,4,5","4,5","16+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Churchill","132018","0","","0","1","0","0","0","0","0","0","0","","","","","","","28160353","6.73358","7.94026","3.2185","513","1716","thing","Churchill","1","3","300","300","60","2015","1,3","3","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Circus Train (First Edition)","62143","0","","0","1","0","0","0","0","0","0","0","","","","","","","27920809","5.68299","7.03186","2.6667","3867","180","thing","Circus Train (First Edition)","1","2","55","55","55","2010","1,2","","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Citadels","478","0","","0","1","0","0","0","0","0","0","0","","","","","","","24725429","7.08809","7.16917","2.065","242","42822","thing","Citadels","2","8","60","60","20","2000","2,3,4,5,6,7","5","10+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"City of Iron","123499","0","","0","1","0","0","0","0","0","0","0","","","","","","","33067585","6.66979","7.44299","3.1842","578","2025","thing","City of Iron","2","4","120","120","120","2013","2,3,4","4","14+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"City of Remnants","133528","0","","0","1","1","0","0","0","0","0","0","","","","","","","19603750","6.27206","7.00947","3.0635","1167","1471","thing","City of Remnants","2","4","90","90","90","2013","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Civility","139471","0","","0","1","1","0","0","0","0","0","0","","","","","","","25475395","5.49666","6.938","2.8333","9819","150","thing","Civility","2","4","90","90","90","2014","3,4","3,4","14+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Clash of Cultures","40765","0","","0","1","0","0","0","0","0","0","0","","","","","","","17932892","7.29372","7.72595","3.5352","134","4134","thing","Clash of Cultures","2","4","240","240","240","2012","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Claustrophobia","36932","0","","0","1","0","0","0","0","0","0","0","","","","","","","19603916","7.34039","7.66077","2.4776","117","6772","thing","Claustrophobia","2","2","45","45","45","2009","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"Clinic","156840","0","","0","0","0","1","0","0","0","0","0","","","","","","","28948210","5.85982","7.36253","4.1429","2445","555","thing","Clinic","2","4","120","120","120","2014","1,2,3,4","4","14+","No necessary in-game text","","","",,"","","","","","","","",""
"Codenames","178900","0","","0","1","0","0","0","0","0","0","0","","","","","","","31429520","7.85567","8.03198","1.4227","19","18792","thing","Codenames","2","8","15","15","15","2015","4,5,6,7,8","6,8","10+","Unplayable in another language","","","",,"","","","","","","","",""
"Codeword Cromwell: The German Invasion of England, 8 June 1940","57141","0","","0","0","0","0","0","0","0","0","1","2","","","","","","27638151","5.75511","8.10432","2.8571","3118","273","thing","Codeword Cromwell: The German Invasion of England, 8 June 1940","1","1","120","120","120","2014","1","1","14+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Collide-O!","12988","0","","0","1","0","0","0","0","0","0","0","","","","","","","24725386","5.48559","5.20833","1.2","10234","68","thing","Collide-O!","2","5","20","20","20","2004","","","","","","","",,"","","","","","","","",""
"Colt Express","158899","0","","0","1","0","0","0","0","0","0","0","","","","","","","26048391","7.06596","7.27219","1.7938","259","9771","thing","Colt Express","2","6","40","40","30","2014","3,4,5,6","5,6","8+","No necessary in-game text","","","",,"","","","","","","","",""
"Combat Commander: Europe","21050","0","","0","0","0","0","0","0","1","0","0","","","","","","","28983880","7.52446","7.93639","3.2046","66","5632","thing","Combat Commander: Europe","2","2","180","180","60","2006","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Commands & Colors: Napoleonics","62222","7.1","","0","0","0","0","0","0","1","0","0","","","","","","","13478631","7.13158","7.97451","2.7172","212","2924","thing","Commands & Colors: Napoleonics","2","2","90","90","90","2010","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
"The Confederate Rebellion","157002","0","","0","0","0","0","0","0","0","0","1","3","","","","","","27638398","0","6.9375","2","0","37","thing","The Confederate Rebellion","1","2","60","60","60","2014","","","","","","","",,"","","","","","","","",""
"Conflict of Heroes: Awakening the Bear! – Russia 1941-42","24800","7.3","","0","1","0","0","0","0","0","0","0","","","","","","","16150510","7.10255","7.59792","2.9913","232","3551","thing","Conflict of Heroes: Awakening the Bear! – Russia 1941-42","1","4","120","120","120","2008","1,2,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"Conquest of Pangea","23631","0","","0","1","0","0","0","0","0","0","0","","","","","","","20895253","5.43237","5.31913","2.475","11378","489","thing","Conquest of Pangea","2","4","90","90","90","2006","4","4","","","","","",,"","","","","","","","",""
"Conquest of Planet Earth: The Space Alien Game","71882","0","","0","1","1","0","0","0","0","0","0","","","","","","","27885745","6.40999","6.98434","2.2","923","2182","thing","Conquest of Planet Earth: The Space Alien Game","1","4","60","60","60","2010","1,2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Constantinopolis","31483","0","","0","1","1","0","0","0","0","0","0","","","","","","","28205390","6.39393","6.99559","3.1439","945","2015","thing","Constantinopolis","2","5","90","90","90","2010","2,3,4,5","4,5","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Core Worlds","98351","0","","0","1","0","0","0","0","0","0","0","","","","","","","18511369","6.92845","7.2976","2.8783","366","3717","thing","Core Worlds","2","5","90","90","90","2011","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","",,"","","","","","","","",""
"Corps Command: Dawn's Early Light","38471","0","","0","1","0","0","0","0","0","0","0","","","","","","","33067675","5.7523","7.44467","2.1724","3143","293","thing","Corps Command: Dawn's Early Light","2","2","0","0","0","2010","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","",,"","","","","","","","",""
"CO₂","72225","0","","0","1","0","0","0","0","0","0","0","","","","","","","19603965","6.87055","7.29251","3.8682","405","3333","thing","CO₂","1","5","120","120","120","2012","1,2,3,4","4","12+","No necessary in-game text","","","",,"","","","","","","","",""
"Cruel Necessity","70519","0","","0","1","0","0","0","0","0","0","0","","","","","","","27900767","6.17614","7.76356","2.7174","1384","931","thing","Cruel Necessity","1","1","60","60","60","2013","1","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","",,"","","","","","","","",""
